Clinic,Address,City,State,Zip,Treatment center,Detection center,Earliest facility asset created date,Earliest provider asset created date,Earliest any public asset created date,Cross-check assessment,Facility asset count,Provider photo asset count,Date source,Phone,Website,Providers
"Rochester Regional Health Eye Care- Greece, NY","2345 Ridgeway Avenue, Rochester, NY 14626",Rochester,NY,14626,No,Yes,2026-07-07,,2026-07-07,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15858663197,https://www.rochesterregional.org/locations/eye-care/greece?y_source=1_MTQ0NTQwOTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#sortCriteria=%40pl_degree_rank%20ascending&f-pl_locationcategory=Eye%20Care,
Rothbloom Eye Care,"1655 Spring Road Southeast, Smyrna, GA 30080",Smyrna,GA,30080,No,Yes,2026-04-22,2026-04-22,2026-04-22,Strong: facility/provider asset dates within 7 days,3,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16787353251,,Aaron Gilliam; Stephen Rothbloom; Marissa Thornton
Rouse Family Eyecare,"15916 West State Road 84, Weston, FL 33326",Weston,FL,33326,No,Yes,2026-06-08,2026-06-08,2026-06-08,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19543699630,https://www.rousefamilyeyecare.com,David Rouse
Roy Lehman MD,"1625 Highway 75 North, Sherman, TX 75090",Sherman,TX,75090,Yes,Yes,2026-06-19,,2026-06-19,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19039126960,https://www.rgbeyeassociates.com/,Jeffrey Harris
San Francisco Eye Institute,"711 Van Ness Ave / STE 310, San Francisco, CA 94102",San Francisco,CA,94102,Yes,Yes,2026-06-16,,2026-06-16,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12603454461,https://www.sfeyeinstitute.com,
Sandhya Iyer MD,"1201 Summit Avenue, Fort Worth, TX 76102",Fort Worth,TX,76102,Yes,Yes,2026-04-22,,2026-04-22,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18176011158,,Sandhya Iyer; Sean Healey Mr.; Cassandria Warr; Adriana Guardiola Mrs.
Sandhya Iyer MD,"3906 East US Highway 377, Granbury, TX 76049",Granbury,TX,76049,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18178666378,https://fortworth2020.com/locations/granbury-office-heb-shopping-center,Sean Healey
Sandhya Iyer MD,"5801 Oakbend Trail, Fort Worth, TX 76132",Fort Worth,TX,76132,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18176864282,https://fortworth2020.com/locations/fort-worth-city-view-office,Sean Healey Mr.
Sandhya Iyer MD,"804 Santa Fe Drive, Weatherford, TX 76086",Weatherford,TX,76086,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18175805598,https://fortworth2020.com/locations/weatherford-office,Sean Healey
Sandhya Iyer MD,"809 West Harwood Road, Hurst, TX 76054",Hurst,TX,76054,No,Yes,2026-05-13,2026-05-13,2026-05-13,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18176465823,https://fortworth2020.com/locations/hurst-office,Sean Healey Mr.
Sandy Iyer,"1201 Summit Avenue, Fort Worth, TX 76102",Fort Worth,TX,76102,No,Yes,2026-05-12,,2026-05-12,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18175918254,www.fortworth2020.com,Sean Healey Dr.
Scott Eye Care,"5511 Cameron Street, Scott, LA 70583",Scott,LA,70583,No,Yes,2026-06-29,,2026-06-29,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13373526504,https://www.scotteye.com/,
Scripps Poway Eyecare,"10549 Scripps Poway Parkway Suite G, San Diego, CA 92131",San Diego,CA,92131,No,Yes,2026-05-20,,2026-05-20,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18588798405,www.scrippseyecare.com,
Seaview Eyecare,"2545 South State Road 7, Suite 10, Wellington, FL 33414",Wellington,FL,33414,No,Yes,2026-05-28,2026-05-28,2026-05-28,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15617657152,https://www.seavieweyecare.com,Amanda Weiss; Amber Fiarman
See Clearly,"8138 Watson St., McLean, VA 22102",McLean,VA,22102,Yes,Yes,2026-04-23,,2026-04-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12296291259,,
SeeCoast Eye Care,"2341 Southeast Federal Highway, Stuart, FL 34994",Stuart,FL,34994,No,Yes,2026-05-05,2026-05-05,2026-05-05,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17722920830,https://www.seecoasteyecare.com,Amanda Nugent; Ashleigh Miller; Charles Suivski
Sheth-Horsley Eye Center,"300 Trade Center - Suite 7690, Woburn, MA 01801",Woburn,MA,01801,No,Yes,2026-06-19,2026-06-19,2026-06-19,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17817227008,https://www.shethhorsleyeyecenter.com/corneal-diseases,Sonya Sheth OD; Nilesh Sheth MD
Shoreline Optometry- Dr. Jennifer Webb,"419 North Shoreline Boulevard, Mountain View, CA 94043",Mountain View,CA,94043,No,Yes,2026-05-30,,2026-05-30,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16505478570,https://www.shorelineoptometry.com,
Sightline Laser Eye Center,"2100 Corporate Drive, Wexford, PA 15090",Wexford,PA,15090,Yes,Yes,2026-06-16,2026-06-16,2026-06-16,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17243826696,https://www.sightlinelaser.com,Ladan Espandar MD; Paul Phillips; Derek Leale MD
Silk Vision & Surgical Center,"3301 Woodburn Rd / Suite 308, Annandale, VA 22003",Annandale,VA,22003,Yes,No,2026-06-05,,2026-06-05,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17853903387,https://www.silkvision.net,
Skyline Vision (Pueblo North),"4026 Jerry Murphy Road, Pueblo, CO 81001",Pueblo,CO,81001,No,Yes,2026-06-24,,2026-06-24,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17194558407,https://skylinevisionclinic.com,
Skyline Vision Clinic,"3155 N Union Blvd., Colorado Springs, CO 80907",Colorado Springs,CO,80907,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17192129762,https://skylinevisionclinic.com/specialty-eye-care/cornea-care/keratoconus/,Matthew Chang
Slidell Eye Specialists,"2053 Gause Blvd. East / Suite 100, Slidell, LA 70461",Slidell,LA,70461,Yes,No,2026-06-24,,2026-06-24,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19853228169,https://www.seebetterla.com/,
Smart Eye Care,"2613 East 16 St, Brooklyn, NY 11235",Brooklyn,NY,11235,Yes,No,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16064986471,http://www.smarteyecare.nyc,Evelyn Icansanio; Michael Ehrenhaus; Edward Rubinchik
South Shore Eye Care,"2185 Wantagh Ave, Wantagh, NY 11793",Wantagh,NY,11793,No,Yes,2026-04-15,,2026-04-15,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15166891128,https://www.southshoreeyecare.net/,Eric Conley
Southwest Eye Care Optometric Center,"4649 Planz Road, Bakersfield, CA 93309",Bakersfield,CA,93309,No,Yes,2026-07-10,,2026-07-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16615391347,www.southwestec.com,
Specs Appeal,"2570 Blackmon Drive, Decatur, GA 30033",Decatur,GA,30033,No,Yes,2026-04-16,,2026-04-16,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16789169630,https://www.specsappealga.com/,Minh Ta
"Spectrum Eye Physicians Cupertino- Dr. Leeanna Nguyen, OD","10300 South De Anza Boulevard, Cupertino, CA 95014",Cupertino,CA,95014,No,Yes,2026-05-06,,2026-05-06,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14083572719,www.spectrumeye.com,
Spectrum Eye Physicians Hollister,"930 Sunnyslope Road, Hollister, CA 95023",Hollister,CA,95023,No,Yes,2026-06-11,,2026-06-11,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18315250023,https://www.spectrumeye.com/our-locations/hollister/,
Spectrum Eye Physicians San Jose,"2100 Forest Ave, San Jose, CA 95128",San Jose,CA,95128,Yes,Yes,2026-05-06,,2026-05-06,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16513689630,www.spectrumeye.com,
Spectrum Eye Physicians Watsonville,"40 Penny Lane, Watsonville, CA 95076",Watsonville,CA,95076,No,Yes,2026-06-08,,2026-06-08,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18314804881,https://www.spectrumeye.com/our-locations/watsonville-penny-lane,
Spectrum Optical - Bridgeport Location,"45 Professional Place
Suite 200, Bridgeport, WV 26330",Bridgeport,WV,26330,No,Yes,2026-05-22,,2026-05-22,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13048234472,www.spectrumoptical.com,Tyler Kerr OD; Cynthia Zwolensky OD
Springfield Eye Associates,"3640 Main ST #205, Springfield, MA 01107",Springfield,MA,01107,No,Yes,2026-05-13,,2026-05-13,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14133845179,www.springfieldeyeassociates.com,
Stamper Optometry,"2508 Mission Street, San Francisco, CA 94110",San Francisco,CA,94110,No,Yes,2026-05-14,,2026-05-14,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17752788168,,
Summit Eye Care,"N89 W16785 Appleton Avenue, Menomonee Falls, WI 53051",Menomonee Falls,WI,53051,No,Yes,2026-06-15,,2026-06-15,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14142464526,https://www.summiteyewi.com/about/milwaukee-optometrist-nicholas-bruns/,
Summit Eye Center,"1621 NW Blue Parkway, Lees Summit, MO 64086",Lees Summit,MO,64086,Yes,Yes,2026-04-20,2026-04-20,2026-04-20,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18167446886,https://www.summiteyekc.com/,Kevin Skelsey MD; Kelsey Kleinsasser OD
Summit Eye Center,"3400 West 10th Street, Sedalia, MO 65301",Sedalia,MO,65301,No,Yes,2026-04-20,2026-04-20,2026-04-20,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18163235294,https://www.summiteyekc.com/locations/sedalia-mo,Kevin Skelsey MD; Kelsey Kleinsasser OD
Sunnyvale Optometry,"596 East El Camino Real, Sunnyvale, CA 94087",Sunnyvale,CA,94087,No,Yes,2026-05-30,,2026-05-30,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13639990828,https://www.sunnyvaleoptometry.net,
Teton Eye Clinic,"555 East Broadway Avenue, Jackson, WY 83001",Jackson,WY,83001,No,Yes,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13072093452,utaheyecenters.com/locations/wyoming/,Jamie Monroe
Texas Eye Care Network,"6002 S. Staples Street, Corpus Christi, TX 78413",Corpus Christi,TX,78413,Yes,Yes,2026-05-12,2026-05-12,2026-05-12,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13613065637,www.texaseye.care,Jorge De La Chapa
Texas Regional Eye Center,"3811 Sagebriar Dr, Bryan, TX 77802",Bryan,TX,77802,Yes,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19794755619,www.texasregionaleye.com,Jake Young; William Riggs; Kyle Varvel; Michael Everson
"The Eye and Vision Center, MCPHS School of Optometry","10 Lincoln Square, Worcester, MA 01608",Worcester,MA,01608,No,Yes,2026-05-05,2026-05-05,2026-05-05,Strong: facility/provider asset dates within 7 days,2,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15086919882,https://www.mcphs.edu/patient-centers-and-clinics/eye-and-vision-center,"Joseph Stamm OD, FAAO; Jessica Walter OD, FAAO; Jami Parsons Malloy OD, FAAO"
The University of Michigan,"1500 East Medical Center Drive, Ann Arbor, MI 48109",Ann Arbor,MI,48109,Yes,Yes,2026-06-23,,2026-06-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17345402045,,
Three Rivers Eye Care,"209 West Main Street Suite 100, Kelso, WA 98626",Kelso,WA,98626,No,Yes,2026-05-20,,2026-05-20,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13602072635,threeriverseyecare.com,
Towne Lake Eye Associates,"1010 Wyngate Parkway, Woodstock, GA 30189",Woodstock,GA,30189,No,Yes,2026-04-29,2026-04-29,2026-04-29,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19897688031,https://townelakeeye.com,Christopher Luft; Steven Keith
Treasure Coast Eye Specialists,"1441 Southeast Ocean Boulevard, Stuart, FL 34996",Stuart,FL,34996,Yes,No,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17722574568,https://treasurecoasteyespecialists.com/,Carrie Palmer
Tri-County Eye Clinic,"431 Bertucci Blvd, Biloxi, MS 39531",Biloxi,MS,39531,Yes,No,2026-06-24,,2026-06-24,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12282528427,http://tcecms.com/,
Triad Eye,"6827 S. Memorial, Tulsa, OK 74133",Tulsa,OK,74133,No,Yes,2026-06-23,,2026-06-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19182624201,https://triadeye.com/,
Triad Eye Institute - Fayetteville,"2783 North Shiloh Drive, Fayetteville, AR 72704",Fayetteville,AR,72704,Yes,No,2026-06-24,,2026-06-24,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14793460838,https://triadeye.com/,
UCLA Stein Eye Institute,"662 Gayley Avenue, Los Angeles, CA 90024",Los Angeles,CA,90024,Yes,No,2026-06-23,,2026-06-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15739282917,https://www.uclahealth.org/hospitals/reagan?utm_source=google&utm_medium=Yext,
UK Advanced Eye Care,"2540 Research Park Dr, Lexington, KY 40536",Lexington,KY,40536,Yes,Yes,2026-06-16,2026-06-16,2026-06-16,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18594702472,https://ukhealthcare.uky.edu/advanced-eye-care,Seema Capoor; Douglas Katz; Manokamna Agarwal; Bradford Tannen
UMSL Optometry School,"7840 Natural Bridge Road, St. Louis, MO 63121",St. Louis,MO,63121,No,Yes,2026-04-23,,2026-04-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13142286170,https://eyecare.umsl.edu/about-us/choose-umsl-eye-care/,Jessica TU OD; Emily Gum OD
University Medical Center,"2000 Canal Street, New Orleans, LA 70112",New Orleans,LA,70112,Yes,No,2026-06-24,,2026-06-24,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15047320558,https://www.lcmchealth.org/university-medical-center-new-orleans/,
University Mississippi Medical Center,"2500 N State St. - LP- Building, Jackson, MS 39216",Jackson,MS,39216,No,Yes,2026-05-26,2026-05-26,2026-05-26,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12182272400,https://www.umc.edu/eye,Roya Attar OD
UPENN Scheie Eye Cornea,"51 N 39th Street, Philadelphia, PA 19104",Philadelphia,PA,19104,Yes,No,2026-06-16,2026-06-16,2026-06-16,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12154342233,https://www.pennmedicine.org/locations/penn-presbyterian-medical-center,Stephen Orlin MD; Kristin Hammersmith MD; Stephen Armenti MD; Christina Moon MD; Angela Gupta MD; Parveen Nagra MD; Matthew Santos MD
Utah Eye Centers,"1025 East 3300 South, Salt Lake City, UT 84106",Salt Lake City,UT,84106,No,Yes,2026-06-30,2026-06-30,2026-06-30,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18017973002,https://life.utaheyecenters.com/,Bradley Anderson
Utah Eye Centers - Bountiful,"4360 Washington Blvd, Ogden, UT 84403-1866",Ogden,UT,84403-1866,No,Yes,2026-06-30,2026-06-30,2026-06-30,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18015162716,http://www.utaheyecenters.com/lasik/,Brock Hansen MD; Kiana Rigby; Devin Farr
Utah Eye Centers - Ogden,"214 West 1500 South / Ste 300, Bountiful, UT 84010",Bountiful,UT,84010,Yes,Yes,,2026-06-30,2026-06-30,Provider asset only,0,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18013486825,,Brock Hansen MD; Devin Farr
Utah Eye Centers - Pleasant Grove,"1972 West Grove Parkway, Pleasant Grove, UT 84062",Pleasant Grove,UT,84062,No,Yes,2026-06-30,2026-06-30,2026-06-30,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18016664158,https://life.utaheyecenters.com/locations/pleasantgrove/,David Griffin
Vance  Thompson Vision - Alexandria,"2600 Jefferson Street, Alexandria, MN 56308",Alexandria,MN,56308,Yes,Yes,2026-05-05,,2026-05-05,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13203616304,https://www.vancethompsonvision.com/locations/alexandria,
Vance Thompson Vision,"2975 Ginnala Drive / Suite 120, Loveland, CO 80538",Loveland,CO,80538,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19705195544,https://www.vancethompsonvision.com/locations/northern-colorado,Cullen Ryburn
Vance Thompson Vision - Billings,"1747 Poly Drive, Billings, MT 59102",Billings,MT,59102,Yes,Yes,2026-06-23,,2026-06-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16292918254,https://www.vancethompsonvision.com/locations/billings,
Vance Thompson Vision - Bozeman,"1925 N 22nd Ave. - Suite 201, Bozeman, MT 59718",Bozeman,MT,59718,Yes,Yes,2026-05-05,,2026-05-05,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14067294908,,
Vance Thompson Vision - Fargo,"354 23rd Ave East, West Fargo, ND 58078",West Fargo,ND,58078,Yes,Yes,2026-05-05,2026-05-05,2026-05-05,Strong: facility/provider asset dates within 7 days,4,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12183082993,Vancethompsonvision.com,Michael Greenwood MD; Brooke Messer OD FAAO FSLS; Nick Risbrudt OD; Seth Stofferahn OD
Vance Thompson Vision - Sioux Falls,"3101 W 57th St., Sioux Falls, SD 57108",Sioux Falls,SD,57108,Yes,Yes,2026-04-21,,2026-04-21,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16056335981,https://www.vancethompsonvision.com/locations/sioux-falls,
"Vance Thompson Vision Cedar Rapids, IA","1136 H Avenue Northeast, Cedar Rapids, IA 52402",Cedar Rapids,IA,52402,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13195594923,https://www.vancethompsonvision.com/locations/cedar-rapids,Caroline Wilson
"Vance Thompson Vision Omaha, NE","4909 S. 118th St, Omaha, NE 68137",Omaha,NE,68137,Yes,Yes,2026-04-15,,2026-04-15,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14022828343,https://www.vancethompsonvision.com/locations/omaha,Kristen Walton OD; Lawrence Nguyen OD; John Goertz OD; Brandon Baartman MD
VIctoria Eye Center,"107 James Coleman Dr, Victoria, TX 77904",Victoria,TX,77904,Yes,Yes,2026-05-12,2026-05-12,2026-05-12,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13613264445,http://victoriaeyecenter.com/services,Peter Lam
Vision Care Center of Hawaii,"94-050 Farrington Highway, Waipahu, HI 96797",Waipahu,HI,96797,No,Yes,2026-04-29,,2026-04-29,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18085635693,https://www.visioncarecenters.com,
Vision Source Insight Eyecare,"5380 Roswell Road Northeast, Atlanta, GA 30342",Atlanta,GA,30342,No,Yes,2026-05-07,,2026-05-07,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14042366697,www.visionsource-insight.com,Rachael Sweeney; Jonathan Chen
Vision Source Signature Eye Care,"5 Sunrise Plaza, Valley Stream, NY 11580",Valley Stream,NY,11580,No,Yes,2026-04-09,,2026-04-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16318174266,https://visionforlifeod.com/,Aleksandra Wianecka; Christopher Vissicchio
Vision Source Signature Eyecare of Babylon,"66 Deer Park Avenue, Babylon, NY 11702",Babylon,NY,11702,No,Yes,2026-04-09,,2026-04-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16318142490,https://www.visionforlifeod.com/,Kelsey Jones
Vision Source Signature Eyecare of Huntington,"374 New York Avenue, Huntington, NY 11743",Huntington,NY,11743,No,Yes,2026-04-16,2026-04-16,2026-04-16,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16315023931,https://visionforlifeod.com/locations/vision-source-signature-eyecare-of-huntington/,Corinne Blum
Vision Specialists of Annapolis,"116 Defense Highway, Annapolis, MD 21401",Annapolis,MD,21401,No,Yes,2026-07-07,,2026-07-07,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14108737147,https://www.annapolis.vision/,
Vision Therapy Institute of South Carolina,"3618 Sunset Boulevard, West Columbia, SC 29169",West Columbia,SC,29169,No,Yes,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18037468321,visiontherapysc.com,"Kate Davis, OD"
Visionare Eye Care,"16860 Sheridan Parkway, Broomfield, CO 80023",Broomfield,CO,80023,No,Yes,2026-05-22,2026-05-22,2026-05-22,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17209543312,https://www.visionaryeyecareco.com/,Kaitlin Fossee; Tiffany Gates
Visionary Eye Doctors,"11300 Rockville Pike / Suite 1202, Rockville, MD 20852",Rockville,MD,20852,Yes,Yes,2026-06-16,,2026-06-16,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13013643978,https://www.voeyedr.com,
Wang Vision Institute,"1801 W End Ave / Suite 1150, Nashville, TN 37203",Nashville,TN,37203,Yes,Yes,2026-06-19,2026-06-19,2026-06-19,Strong: facility/provider asset dates within 7 days,3,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16155023920,https://wangvisioninstitute.com/,Abhilash Guduru; Kyle Jones; David Zimmerman; Jake Wysiadlowski
Washington Eye Doctors,"900 17th Street Northwest, Washington, DC 20006",Washington,DC,20006,No,Yes,2026-07-08,,2026-07-08,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15706846799,https://www.washingtoneyedoctors.com/about/,
